rating,username
2841.96,aryanc403
2707.79,ap1008
2701.02,LosingNowLosingLate
2676.75,taran_1407
2667.42,anil9717
2639.48,razimantv
2636.84,mafailure
2636.38,srikkanthr
2614.36,Ajit123
2587.11,r_d_
2561.77,satviksr
2559.93,amit_kr31
2559.81,crazymerlyn
2550.94,tanmay_raj_29
2537.68,astroash
2537.53,yatin_kwatra
2530.96,zanj0
2525.81,nagabhushan
2525.4,cheatcode
2523.24,jika_jik
2520.4,izaj_iitkgp
2510.88,neeraj745
2486.54,ajinkya1p3
2482.36,roll_no_1
2481.87,_merlin_
2471.63,shuba400
2470.18,abhishekvanjani
2468.78,bipinpathak
2459.21,deepak022
2458.26,jeeadvanced
2449.24,ghoshashis545
2442.91,anujdhillon
2440.75,soghosh
2439.38,feynman_1729_67
2439.37,k_a_r_a_n
2437.85,horcrux903
2432.68,arjitkansal
2414.39,changoi
2413.3,dolamanee6122
2412.47,badriisurmi
2410.62,dush1729
2405.66,maester_
2404.85,Chandraprabhu
2396.16,dasarisrinivas
2394.73,umang1975
2389.46,abhidot
2386.74,yash30201
2370.39,satvikb
2369.45,l_returns
2366.77,ronnith
2362.54,yash_daga
2360.75,itishagarwal2000
2360.36,abhigyankole
2357.51,kim_123
2357.18,biltharesatyendra
2354.08,balu_r
2351.77,mrunankmistry52
2351.76,ssid8802
2348.77,karansiwach360
2347.59,kkdrummer
2346.85,Qg3
2345.47,amit123sharma
2342.73,tyagsa
2342.4,dedpoolman
2340.57,lifeofpriyam2
2337.34,souravrax
2337.21,pasricha_dhruv
2335.79,hkmaxi
2334.38,awaracoder
2333.9,Anushk_23
2331.29,Aabhas99
2330.45,akshay7797
2326.39,vivek_shah98
2325.53,unreal13
2324.94,eunoia_1729
2324.43,prashant_nk
2319.16,callpramit
2316.44,Shivakumar_0201R
2314.44,ray_striker
2313.05,nipungupta37
2312.19,xyxx
2308.76,atomicHabits
2308.16,mon0pole
2308.13,NaSaPaKri
2308,nishitsharma0
2307.79,g_abilash1104
2307.25,ak_shrana
2306.77,Nikhil_IITP
2302.73,KH_AYUSH
2301.97,omhari
2301.83,mohit7153
2301.38,kavishd29598
2298.15,Avenger_Amir
2294.77,Aman_j1
2294.73,moon_dancer
2294.71,samay_var
2294.51,askvij
2293.03,arunkumar3320
2292.46,aknov711
2292.43,YashSaxena9
2291.39,ankan2526
2286.07,charan_singh
2285.42,mtewathia99
2285.02,ALWAYS_394
2283.45,aqibm
2283.02,aayush_chhabra
2282.81,sharath101
2282.77,agarwal_keshav
2281.59,invincible_0
2280.51,sharma0201
2280.5,doreamon_
2275.68,avijeet_03
2274.8,debajyoti123
2274.69,wtf69
2274.53,costheta
2271.46,ksmukta
2270.37,prakhar15
2270.07,PoPularPlusPlus
2269.15,TheDemon1709
2268.91,prozpekt
2267.58,Prasanna648
2267.51,nipunmittal15
2266.76,Rick_Scott
2264.99,kunal_singhal
2264.36,abhinash_giri
2263.25,khaufnak
2262.69,TusharGupta05
2262.2,CodeSlayer0204
2260.07,DreamyEyes
2258.13,divyanshu1
2257.79,y0g38h_kum4r
2255.29,modi_nitin13
2254.9,aansh01
2254.87,boopityboop
2251.09,pandeykushagra51
2249.7,wormx
2249.35,zenolus
2248.93,Chitresh_Apte
2247.73,cypher14
2247.48,devansh5398
2246.87,Dhruvjain2000
2246.39,IamVaibhave53
2245.45,nik_y
2245.36,nvdrag123
2245.24,parmarshashank11
2243.66,Prakhar_11
2241.57,Yashjain
2241.21,KingRayuga
2240.85,samar19972102
2240.36,penukonda
2239.88,sam997
2238.47,pratik_rockstar
2238.25,harshiltagadiya
2238.21,against_the_current
2237.14,praveenkumart236
2233.84,vivek8420
2233.06,geek_geek
2231.72,Tushar08
2231.5,Mayur9agt
2230.88,munghatekartik
2228.59,abhishek201202
2226.32,yuvansh
2225.87,sudeep_423
2225.58,zombiedub
2224.89,nitin_pandey30
2223.49,prshnt19
2223.43,vipinmahan
2223.37,eshan1809
2222.76,apoorv1999
2221.5,suresh1997
2219.8,tanwir2912
2219.51,Sameer_Mann
2218.98,deepak_changoi
2217.48,lakh
2217.46,smit5300
2217.3,chirano
2217.25,argha_kole
2216.27,rajyadav007
2215.58,ankit729
2214.85,yash2040
2214.74,ju_c_anik
2213.67,abhijit_patil
2213.36,nightking__11
2212.35,Gaurav_8
2212.03,shobhit907
2210.01,under_ground
2209.81,jayaprakash_a
2208.52,jabhi_18
2208.33,d1nesh
2208.19,suri429
2208.09,secret_learner
2207.07,udayreddy2001
2206.43,non_deterministic
2205.63,parnbhatt23
2205.62,soumit915
2205.26,dadboss
2204.3,mirsd_19
2204.2,abhutani06
2204.19,chirag11032000
2201.8,user5116r
2199.46,nishant_141077
2199.2,kartikeya22022
2197.4,legend_op
2197.23,shivam_2018
2197.16,t_bone_289
2197.03,_Devstar_
2197.02,pramitb
2196.72,r3novatio
2196.39,manujk881
2195.85,vinitkumawat31
2194.84,ankurkayal
2193.88,coderPlusTester
2192.83,mayank12559
2191.96,TejaMeraNaam
2190.02,akashSudan
2189.23,Happymood
2188.86,arnavrupade
2188.86,mr_scott
2187.06,Chetan_Aggarwal
2186.94,aryan57
2186.19,rahul0077
2185,great_white
2184.43,ac_97
2183.82,raj038
2183.51,Falak_
2183.29,coder_h
2183.23,boppanasusanth
2182.7,NMLogN
2181.93,Aditya0412
2181.46,LazyCoder16
2180.32,prashar32
2179.97,phenoMenAl
2177.58,anishde85
2177.47,skull1999
2177.16,Raja_n
2177.03,bruce-wayne99
2177.03,UjjawalKumar29101999
2176.35,aman282571
2175.89,choudhary463
2175.3,manavmohata123
2175,ABdevil
2174.56,souradeep19999
2174.44,_Anumish
2173.68,shekabhi1208
2173.54,shaurya024
2173.47,noobiesAG
2173.28,SysSn13
2172.97,jainam_sogani
2172.55,Professor21
2172.42,srivinodp
2171.87,Himanshu77
2171.56,pK2015
2171.55,ashanksingh1997
2170.36,isocyanide7
2169.14,sureshupadhyay
2165.86,tarptaeya
2164.98,Prasanna648_Alt
2164.92,ankukarda
2164.61,agentneutron
2164.05,manvirag
2163.44,SudhanshuMallick
2162.58,jprakhar77
2161.64,zeeshanlakshya
2161.46,arghyadeep_coder
2159.27,MartyByrde
2159.01,vineetjai
2158.98,vishnu10jayanti
2158.85,hitendrasingh337
2158.35,lcs2019022
2158.28,prateksharma2000
2156.84,nayakashutosh9
2155.19,meet2mky
2154.05,apoorvagarwal777
2153.59,gtpan77
2153.44,tyagivaibhav
2151.98,its_aks_ulure
2151.77,sourabh1024
2151.61,notsoloud
2151.34,kira3018
2150.6,bojack1
2150.52,sagar_ji
2148.66,T_DOG
2148.44,devil_itself
2148.36,user9218i
2147.97,jpsagarm95
2147.17,mystic_soul
2147,coder_vk
2145.67,shubhamgupta20
2144.32,Errorr_404
2141.33,Be_Constitent
2140.82,manthanpatel_14
2140.52,Pawanagrawal
2140.26,totijain
2139.74,kapil
2139.35,CO_nsistency_DING_1_2_3
2139.11,vok8
2138.68,KaranSehgal151998
2138.68,RajSahu
2137.98,satyampandey9811
2137.17,lonercoder101
2136.97,callmepandey
2136.52,little_angel
2134.5,ShlokG
2134.31,kg1910
2134.1,karthick3
2133.17,ashk43712
2132.81,ashish10comp
2132.65,Thunder_bolt
2131.88,rohan03
2131.61,pavitra_ag
2131.28,XORring-Samurai
2130.33,Krypto_Ray
2130.31,B_Yashwanth_Reddy
2128.86,aksayushx
2128.77,Prateek2704
2128.47,soupboy
2126.1,SID6
2125.62,calcsaransh
2125.59,pawan_29
2125.25,dineshhardasani2000
2124.88,Nandu
2124.43,akg7227
2124.42,ag_007
2124.18,rishabhv__333
2123.32,PulkitSharma77
2122.91,dabra
2122.64,gagan_6730
2122.35,ankit_6776
2122.34,pankajsharma1
2121.88,ksareen1107
2120.73,sobhagya_sd
2120.53,somyamehta_24
2119.91,ovd0312
2119.84,_akshit_
2119.22,omprakash_62
2118.57,devansh05
2118.03,BabaYagnik
2117.95,aman_ayush04
2117.52,trickster_
2116.36,vinayakawanti
2116.34,sahilshelangia
2116.05,SatyaMann
2114.87,masteranimax
2113.79,user1629q
2113.42,ramalik00
2113.4,rounak_0501
2112.33,IAmCoderrr
2112.18,goyalanshul809
2112.05,a_kk
2111.02,rishisethia258
2109.6,archit_1
2109.54,Krish_123
2109.53,mahim_mittal
2108.54,asdgaf
2108.48,kshitiz1
2108.4,mrdude7
2107.79,yogesh-mangnaik
2107.59,suri_kumkaran
2107.07,Prabhat0602
2106.98,aaryans
2105.7,Urvik_Jada
2104.66,akshitm16
2104.53,Mahipalkeizer
2104.34,ankitsingh9164
2104.15,v_s_codes
2102.92,Gladiator_in_Practice
2102.62,b_wayne
2102.58,Amar_o1
2101.97,logbase2
2101.37,hawkings9999
2100.86,yashshah2025
2100.81,nandakishore323
2100.5,pranavgupta194
2099.92,prem_cse
2099.47,pranavsindura
2098.26,Potato_Pc
2097.97,mihir_sood
2097.87,mishras839392
2097.52,Mridul20
2097.46,himanshu0066
2097.2,ujwalkr01
2096.17,su225
2096.01,mohitsvnit
2095.52,g0rav
2095.48,17uec021
2095.34,RitikSingla
2095,Cerberus45
2094.96,namango99
2094.82,SainathTallam
2094.42,krishnakant01
2094.13,ekansh9927
2092.88,goku1998
2092.68,Adi007
2092.58,akshayanand729
2092.23,MrGhasita
2091.49,thephenom
2091.39,dpw4112001
2091.19,ganekasar
2091.19,anu_2021
2091.11,rg_1
2090.28,tejas_18
2089.44,sidgupta94
2089.03,enraged
2088.91,harshal_78
2088.86,CodeWizzy
2088.41,Samrat_Bhar
2088.15,rohitdattaiiith
2087.97,dharm_veer_sharma
2087.71,Sanskar22
2087.54,chaudharypriyanshu7401
2087.35,ahirwar4860
2087.26,Shahraaz
2087.15,kartikpapney
2086.81,DaRk_DeStRucToR
2086.52,SohamKanji
2086.13,krishna_0_9
2086,gauravsingh_
2085.4,taarasinh
2084.71,harshrajani460
2083.45,Ar_2000
2082.42,coder_1508
2082.36,Aquanox
2082.17,DikshantRajwal
2081.57,jake_peralta99
2080.19,SanBolte
2079.92,mohammad7892
2079.78,mandalore123
2079.48,reetik
2079.24,yash_chad
2079.2,JojiJoseph
2078.8,sarveshmd11
2078.31,_ashish_
2077.86,saurav_ksharma
2077.54,Priyanshu14_
2077.48,gogapp
2077.33,Aditya310
2077.18,lucifer_99
2077.17,naseerhussain
2076.64,dontquit
2075.69,praveen_ojha
2074.71,2020201089_janme
2074.24,kulyash
2074.24,brickcommander
2074.09,Sturdy_
2074.04,tanzeelsiddiqui
2073.42,kachhuaa
2072.41,shahnirmit2503
2072.25,cpp_expert
2071.67,skmanish
2071.52,__hnz___
2070.78,decoder_1671
2070.68,admirer145
2070.51,return_404
2070.16,ultramagnus
2070.14,gech_guy
2070.1,Brijesh1in
2069.13,prabhjyot28
2068.88,archit91
2068.64,vegishanmukh7
2068.51,Saksham_2000
2068.45,mayank334
2068.42,milind0110
2068.17,ritesh1340
2067.88,arnabghatak22
2067.55,Ardh1999
2067.47,sagnik_mitra
2067.38,prajwal_733
2067.33,201701080
2067.19,emiya100
2066,ankitmishra833
2065.5,Stan_VJ
2065.2,shubh_goyal
2064.97,user3408lM
2064.92,akashad1998
2064.71,rupakk
2064.53,mehul_02
2064.16,sunio
2063.71,mdnaufalh
2063.45,silupanda
2063.14,Rook_Lift
2063.07,Siddhant_Khare
2062.91,hash1023
